,person,qid,personLabel,refURL,href
0,http://www.wikidata.org/entity/Q63992891,Q63992891,Adolf Fredrik Nyman,https://kulturpersoner.uppsalakyrkogardar.se/adolf-nyman/,adolf-nyman
1,http://www.wikidata.org/entity/Q2913935,Q2913935,Adolf Murray,https://kulturpersoner.uppsalakyrkogardar.se/adolph-murray/,adolph-murray
2,http://www.wikidata.org/entity/Q2653181,Q2653181,Adolf Noreen,https://kulturpersoner.uppsalakyrkogardar.se/adolf-noreen/,adolf-noreen
3,http://www.wikidata.org/entity/Q364399,Q364399,Adolph Törneros,https://kulturpersoner.uppsalakyrkogardar.se/adolph-torneros/,adolph-torneros
4,http://www.wikidata.org/entity/Q4949712,Q4949712,Agnes Geijer,https://kulturpersoner.uppsalakyrkogardar.se/agnes-geijer/,agnes-geijer
5,http://www.wikidata.org/entity/Q5615428,Q5615428,Alfred Dahlgren,https://kulturpersoner.uppsalakyrkogardar.se/alfred-dahlgren/,alfred-dahlgren
6,http://www.wikidata.org/entity/Q468303,Q468303,Anders Gustaf Ekeberg,https://kulturpersoner.uppsalakyrkogardar.se/anders-gustaf-ekeberg/,anders-gustaf-ekeberg
7,http://www.wikidata.org/entity/Q187258,Q187258,Anders Jonas Ångström,https://kulturpersoner.uppsalakyrkogardar.se/anders-jonas-angstrom/,anders-jonas-angstrom
8,http://www.wikidata.org/entity/Q92466407,Q92466407,Anders Strandberg,https://kulturpersoner.uppsalakyrkogardar.se/anders-strandberg/,anders-strandberg
9,http://www.wikidata.org/entity/Q64025337,Q64025337,Anita Nathorst,https://kulturpersoner.uppsalakyrkogardar.se/anita-nathorst/,anita-nathorst
10,http://www.wikidata.org/entity/Q4766181,Q4766181,Ann Margret Holmgren,https://kulturpersoner.uppsalakyrkogardar.se/ann-margret-holmgren/,ann-margret-holmgren
11,http://www.wikidata.org/entity/Q559038,Q559038,Anna-Lisa Thomson,https://kulturpersoner.uppsalakyrkogardar.se/anna-lisa-thomson/,anna-lisa-thomson
12,http://www.wikidata.org/entity/Q92929263,Q92929263,Anna-Ma Toll,https://kulturpersoner.uppsalakyrkogardar.se/anna-ma-toll/,anna-ma-toll
13,http://www.wikidata.org/entity/Q29418127,Q29418127,Asta Ödman,https://kulturpersoner.uppsalakyrkogardar.se/asta-odman/,asta-odman
14,http://www.wikidata.org/entity/Q99481049,Q99481049,August Haglund,https://kulturpersoner.uppsalakyrkogardar.se/august-haglund/,august-haglund
15,http://www.wikidata.org/entity/Q481346,Q481346,Axel W. Persson,https://kulturpersoner.uppsalakyrkogardar.se/axel-w-persson/,axel-w-persson
16,http://www.wikidata.org/entity/Q64146648,Q64146648,Barbro Holmdahl,https://kulturpersoner.uppsalakyrkogardar.se/barbro-holmdahl/,barbro-holmdahl
17,http://www.wikidata.org/entity/Q64147887,Q64147887,Bernhard von Helvig,https://kulturpersoner.uppsalakyrkogardar.se/bernhard-von-helvig/,bernhard-von-helvig
18,http://www.wikidata.org/entity/Q730008,Q730008,Bruno Liljefors,https://kulturpersoner.uppsalakyrkogardar.se/bruno-liljefors/,bruno-liljefors
19,http://www.wikidata.org/entity/Q5820296,Q5820296,Carl Alexander Hård,https://kulturpersoner.uppsalakyrkogardar.se/carl-hard/,carl-hard
20,http://www.wikidata.org/entity/Q5629913,Q5629913,Carl Axel Ekholm,https://kulturpersoner.uppsalakyrkogardar.se/carl-axel-ekholm/,carl-axel-ekholm
21,http://www.wikidata.org/entity/Q47088,Q47088,Carl David af Wirsén,https://kulturpersoner.uppsalakyrkogardar.se/carl-david-af-wirsen/,carl-david-af-wirsen
22,http://www.wikidata.org/entity/Q39658,Q39658,Carl Peter Thunberg,https://kulturpersoner.uppsalakyrkogardar.se/carl-peter-thunberg/,carl-peter-thunberg
23,http://www.wikidata.org/entity/Q99447464,Q99447464,Carl Wolrath,https://kulturpersoner.uppsalakyrkogardar.se/carl-wolrath/,carl-wolrath
24,http://www.wikidata.org/entity/Q821990,Q821990,Christopher Jacob Boström,https://kulturpersoner.uppsalakyrkogardar.se/cristopher-jacob-bostrom,cristopher-jacob-bostrom
25,http://www.wikidata.org/entity/Q1267,Q1267,Dag Hammarskjöld,https://kulturpersoner.uppsalakyrkogardar.se/dag-hammarskjold/,dag-hammarskjold
26,http://www.wikidata.org/entity/Q4940209,Q4940209,Ebba Boström,https://kulturpersoner.uppsalakyrkogardar.se/ebba-bostrom/,ebba-bostrom
27,http://www.wikidata.org/entity/Q60693780,Q60693780,Ebba Sörbom,https://kulturpersoner.uppsalakyrkogardar.se/ebba-sorbom/,ebba-sorbom
28,http://www.wikidata.org/entity/Q6213641,Q6213641,Egmont Tornberg,https://kulturpersoner.uppsalakyrkogardar.se/egmont-tornber,egmont-tornber
29,http://www.wikidata.org/entity/Q15405,Q15405,Elias Magnus Fries,https://kulturpersoner.uppsalakyrkogardar.se/elias-fries/,elias-fries
30,http://www.wikidata.org/entity/Q64341955,Q64341955,Elin Eriksson,https://kulturpersoner.uppsalakyrkogardar.se/elin-eriksson/,elin-eriksson
31,http://www.wikidata.org/entity/Q4951933,Q4951933,Ellen Hagen,https://kulturpersoner.uppsalakyrkogardar.se/ellen-hagen/,ellen-hagen
32,http://www.wikidata.org/entity/Q4947169,Q4947169,Elsa Eschelsson,https://kulturpersoner.uppsalakyrkogardar.se/elsa-eschelsson/,elsa-eschelsson
33,http://www.wikidata.org/entity/Q16596302,Q16596302,Emma Schenson,https://kulturpersoner.uppsalakyrkogardar.se/emma-schenson/,emma-schenson
34,http://www.wikidata.org/entity/Q380937,Q380937,Erik Gustaf Geijer,https://kulturpersoner.uppsalakyrkogardar.se/erik-gustaf-geijer/,erik-gustaf-geijer
35,http://www.wikidata.org/entity/Q6022965,Q6022965,Erik Ofvandahl,https://kulturpersoner.uppsalakyrkogardar.se/erik-ofvandahl/,erik-ofvandahl
36,http://www.wikidata.org/entity/Q64348292,Q64348292,Ester Bobeck,https://kulturpersoner.uppsalakyrkogardar.se/ester-bobeck/,ester-bobeck
37,http://www.wikidata.org/entity/Q4935571,Q4935571,Eva Andén,https://kulturpersoner.uppsalakyrkogardar.se/eva-anden/,eva-anden
38,http://www.wikidata.org/entity/Q24845311,Q24845311,Eva Edling,https://kulturpersoner.uppsalakyrkogardar.se/eva-edling/,eva-edling
39,http://www.wikidata.org/entity/Q2748869,Q2748869,Fadime Şahindal,https://kulturpersoner.uppsalakyrkogardar.se/fadime-sahindal/,fadime-sahindal
40,http://www.wikidata.org/entity/Q2734017,Q2734017,Finn Malmgren,https://kulturpersoner.uppsalakyrkogardar.se/finn-malmgren/,finn-malmgren
41,http://www.wikidata.org/entity/Q5973368,Q5973368,Fredrik Mallet,https://kulturpersoner.uppsalakyrkogardar.se/fredric-mallet/,fredric-mallet
42,http://www.wikidata.org/entity/Q16650457,Q16650457,Fredrik Tamm,https://kulturpersoner.uppsalakyrkogardar.se/fredrik-tamm/,fredrik-tamm
43,http://www.wikidata.org/entity/Q5504753,Q5504753,Frithiof Holmgren,https://kulturpersoner.uppsalakyrkogardar.se/frithiof-holmgren/,frithiof-holmgren
44,http://www.wikidata.org/entity/Q99482915,Q99482915,Fritz Ehrengranat,https://kulturpersoner.uppsalakyrkogardar.se/fritz-ehrengranat/,fritz-ehrengranat
45,http://www.wikidata.org/entity/Q5759348,Q5759348,Gabriel Wilhelm Gillberg,https://kulturpersoner.uppsalakyrkogardar.se/gabriel-w-gillberg,gabriel-w-gillberg
46,http://www.wikidata.org/entity/Q4936707,Q4936707,Greta Arwidsson,https://kulturpersoner.uppsalakyrkogardar.se/greta-arwidsson/,greta-arwidsson
47,http://www.wikidata.org/entity/Q4949380,Q4949380,Greta Gahn,https://kulturpersoner.uppsalakyrkogardar.se/greta-gahn/,greta-gahn
48,http://www.wikidata.org/entity/Q52554763,Q52554763,Gunilla Bergsten,https://kulturpersoner.uppsalakyrkogardar.se/gunilla-bergsten/,gunilla-bergsten
49,http://www.wikidata.org/entity/Q58642752,Q58642752,Gurli Taube,https://kulturpersoner.uppsalakyrkogardar.se/gurli-taube/,gurli-taube
50,http://www.wikidata.org/entity/Q366801,Q366801,Gustaf Fröding,https://kulturpersoner.uppsalakyrkogardar.se/gustaf-froding/,gustaf-froding
51,http://www.wikidata.org/entity/Q6197324,Q6197324,Gustaf Svanberg,https://kulturpersoner.uppsalakyrkogardar.se/gustaf-svanberg-d-y,gustaf-svanberg-d-y
52,http://www.wikidata.org/entity/Q6197319,Q6197319,Gustaf Svanberg,https://kulturpersoner.uppsalakyrkogardar.se/gustaf-svanberg,gustaf-svanberg
53,http://www.wikidata.org/entity/Q6240176,Q6240176,Gusten Widerbäck,https://kulturpersoner.uppsalakyrkogardar.se/gusten-widerback/,gusten-widerback
54,http://www.wikidata.org/entity/Q4348813,Q4348813,Gösta Knutsson,https://kulturpersoner.uppsalakyrkogardar.se/gosta-knutsson/,gosta-knutsson
55,http://www.wikidata.org/entity/Q1960724,Q1960724,Hans Järta,https://kulturpersoner.uppsalakyrkogardar.se/hans-jarta/,hans-jarta
56,http://www.wikidata.org/entity/Q588259,Q588259,Hans Rosling,https://kulturpersoner.uppsalakyrkogardar.se/hans-rosling/,hans-rosling
57,http://www.wikidata.org/entity/Q4970525,Q4970525,Helena Nyblom,https://kulturpersoner.uppsalakyrkogardar.se/helena-nyblom/,helena-nyblom
58,http://www.wikidata.org/entity/Q6159106,Q6159106,Henri Osti,https://kulturpersoner.uppsalakyrkogardar.se/heinrich-osti,heinrich-osti
59,http://www.wikidata.org/entity/Q5749466,Q5749466,Henrik Gahn den yngre,https://kulturpersoner.uppsalakyrkogardar.se/henrik-gahn/,henrik-gahn
60,http://www.wikidata.org/entity/Q99484369,Q99484369,Henrik Wilhelm Söderman,https://kulturpersoner.uppsalakyrkogardar.se/henrik-wilhelm-soderman,henrik-wilhelm-soderman
61,http://www.wikidata.org/entity/Q99488724,Q99488724,Herman Baumbach,https://kulturpersoner.uppsalakyrkogardar.se/herman-baumbach/,herman-baumbach
62,http://www.wikidata.org/entity/Q64438162,Q64438162,Hildur Akselsson,https://kulturpersoner.uppsalakyrkogardar.se/hildur-akselsson/,hildur-akselsson
63,http://www.wikidata.org/entity/Q4971483,Q4971483,Hildur Ottelin,https://kulturpersoner.uppsalakyrkogardar.se/hildur-ottelin/,hildur-ottelin
64,http://www.wikidata.org/entity/Q49099212,Q49099212,Hjalmar Söderberg,https://kulturpersoner.uppsalakyrkogardar.se/hjalmar-soderberg/,hjalmar-soderberg
65,http://www.wikidata.org/entity/Q4970301,Q4970301,Ida Norrby,https://kulturpersoner.uppsalakyrkogardar.se/ida-norrby/,ida-norrby
66,http://www.wikidata.org/entity/Q16501988,Q16501988,Ingegerd Beskow,https://kulturpersoner.uppsalakyrkogardar.se/ingegerd-beskow/,ingegerd-beskow
67,http://www.wikidata.org/entity/Q30331245,Q30331245,Ingrid Årfelt-Svalander,https://kulturpersoner.uppsalakyrkogardar.se/ingrid-arfelt/,ingrid-arfelt
68,http://www.wikidata.org/entity/Q464768,Q464768,Jan Fridegård,https://kulturpersoner.uppsalakyrkogardar.se/jan-fridegard/,jan-fridegard
69,http://www.wikidata.org/entity/Q13534119,Q13534119,Jane Miller Thengberg,https://kulturpersoner.uppsalakyrkogardar.se/jane-miller-thengberg/,jane-miller-thengberg
70,http://www.wikidata.org/entity/Q5585755,Q5585755,Johan Bredman,https://kulturpersoner.uppsalakyrkogardar.se/johan-bredman,johan-bredman
71,http://www.wikidata.org/entity/Q99484881,Q99484881,Johan Fredrik Carlsson,https://kulturpersoner.uppsalakyrkogardar.se/johan-fredrik-carlsson,johan-fredrik-carlsson
72,http://www.wikidata.org/entity/Q6169365,Q6169365,Johan Henrik Schröder,https://kulturpersoner.uppsalakyrkogardar.se/johan-henrik-schroder/,johan-henrik-schroder
73,http://www.wikidata.org/entity/Q5564148,Q5564148,Johan von Bahr,https://kulturpersoner.uppsalakyrkogardar.se/johan-von-bahr/,johan-von-bahr
74,http://www.wikidata.org/entity/Q22338189,Q22338189,Johanna Ulrika Agnes Geijer,https://kulturpersoner.uppsalakyrkogardar.se/agnes-hamilton-f-geijer/,agnes-hamilton-f-geijer
75,http://www.wikidata.org/entity/Q17165450,Q17165450,Johanne Grieg Cederblad,https://kulturpersoner.uppsalakyrkogardar.se/johanne-grieg-cederblad/,johanne-grieg-cederblad
76,http://www.wikidata.org/entity/Q4936564,Q4936564,Karin Arosenius,https://kulturpersoner.uppsalakyrkogardar.se/karin-arosenius/,karin-arosenius
77,http://www.wikidata.org/entity/Q4990395,Q4990395,Karin Westman Berg,https://kulturpersoner.uppsalakyrkogardar.se/karin-westman-berg/,karin-westman-berg
78,http://www.wikidata.org/entity/Q5946236,Q5946236,Karl Gustaf Lennander,https://kulturpersoner.uppsalakyrkogardar.se/karl-gustaf-lennander/,karl-gustaf-lennander
79,http://www.wikidata.org/entity/Q920838,Q920838,Lars Erstrand,https://kulturpersoner.uppsalakyrkogardar.se/lars-erstrand/,lars-erstrand
80,http://www.wikidata.org/entity/Q3298109,Q3298109,Lasse Eriksson,https://kulturpersoner.uppsalakyrkogardar.se/lasse-eriksson/,lasse-eriksson
81,http://www.wikidata.org/entity/Q4959699,Q4959699,Lotten von Kræmer,https://kulturpersoner.uppsalakyrkogardar.se/lotten-von-kraemer/,lotten-von-kraemer
82,http://www.wikidata.org/entity/Q44974337,Q44974337,Louise Stjernstedt,https://kulturpersoner.uppsalakyrkogardar.se/louise-stiernstedt/,louise-stiernstedt
83,http://www.wikidata.org/entity/Q4940661,Q4940661,Maj Bring,https://kulturpersoner.uppsalakyrkogardar.se/maj-bring/,maj-bring
84,http://www.wikidata.org/entity/Q546949,Q546949,Malla Silfverstolpe,https://kulturpersoner.uppsalakyrkogardar.se/malla-silfverstolpe/,malla-silfverstolpe
85,http://www.wikidata.org/entity/Q5822410,Q5822410,Manne Ihran,https://kulturpersoner.uppsalakyrkogardar.se/manne-ihran/,manne-ihran
86,http://www.wikidata.org/entity/Q4976492,Q4976492,Margit Sahlin,https://kulturpersoner.uppsalakyrkogardar.se/margit-sahlin/,margit-sahlin
87,http://www.wikidata.org/entity/Q4978657,Q4978657,Mari Simmulson,https://kulturpersoner.uppsalakyrkogardar.se/mari-simmulson/,mari-simmulson
88,http://www.wikidata.org/entity/Q23988285,Q23988285,Maria Henschen,https://kulturpersoner.uppsalakyrkogardar.se/maria-henschen/,maria-henschen
89,http://www.wikidata.org/entity/Q29470060,Q29470060,Maria Magdalena Schenson,https://kulturpersoner.uppsalakyrkogardar.se/emma-schenson/,emma-schenson
90,http://www.wikidata.org/entity/Q99485175,Q99485175,Martin Edlund,https://kulturpersoner.uppsalakyrkogardar.se/martin-edlund/,martin-edlund
91,http://www.wikidata.org/entity/Q51800428,Q51800428,Mathilde Wigert-Österlund,https://kulturpersoner.uppsalakyrkogardar.se/mathilde-wigert-osterlund/,mathilde-wigert-osterlund
92,http://www.wikidata.org/entity/Q5715829,Q5715829,Moltas Erikson,https://kulturpersoner.uppsalakyrkogardar.se/jan-moltas-erikson/,jan-moltas-erikson
93,http://www.wikidata.org/entity/Q16650233,Q16650233,Måns von Rosenstein,https://kulturpersoner.uppsalakyrkogardar.se/mans-von-rosenstein/,mans-von-rosenstein
94,http://www.wikidata.org/entity/Q6060163,Q6060163,Nils Edvard Raab,https://kulturpersoner.uppsalakyrkogardar.se/edvard-raab/,edvard-raab
95,http://www.wikidata.org/entity/Q38304699,Q38304699,Nils Gunnar Sundgren,https://kulturpersoner.uppsalakyrkogardar.se/gunnar-sundgren/,gunnar-sundgren
96,http://www.wikidata.org/entity/Q5711545,Q5711545,Olof Eneroth,https://kulturpersoner.uppsalakyrkogardar.se/olof-eneroth/,olof-eneroth
97,http://www.wikidata.org/entity/Q6209881,Q6209881,Olof Thunman,https://kulturpersoner.uppsalakyrkogardar.se/olof-thunman/,olof-thunman
98,http://www.wikidata.org/entity/Q445867,Q445867,Olof Verelius,https://kulturpersoner.uppsalakyrkogardar.se/olof-verelius/,olof-verelius
99,http://www.wikidata.org/entity/Q6001924,Q6001924,Olof von Nackreij,https://kulturpersoner.uppsalakyrkogardar.se/olof-von-nackreij/,olof-von-nackreij
100,http://www.wikidata.org/entity/Q5560063,Q5560063,Oscar Arpi,https://kulturpersoner.uppsalakyrkogardar.se/oscar-arpi/,oscar-arpi
101,http://www.wikidata.org/entity/Q5744398,Q5744398,Otto von Friesen,https://kulturpersoner.uppsalakyrkogardar.se/otto-von-friesen/,otto-von-friesen
102,http://www.wikidata.org/entity/Q444538,Q444538,Per Daniel Amadeus Atterbom,https://kulturpersoner.uppsalakyrkogardar.se/per-daniel-amadeus-atterbom/,per-daniel-amadeus-atterbom
103,http://www.wikidata.org/entity/Q711658,Q711658,Pontus Wikner,https://kulturpersoner.uppsalakyrkogardar.se/pontus-wikner/,pontus-wikner
104,http://www.wikidata.org/entity/Q99485220,Q99485220,Ragni Kjellberg,https://kulturpersoner.uppsalakyrkogardar.se/ragni-kjellberg,ragni-kjellberg
105,http://www.wikidata.org/entity/Q5921477,Q5921477,Robert Fredrik von Kræmer,https://kulturpersoner.uppsalakyrkogardar.se/robert-von-kraemer/,robert-von-kraemer
106,http://www.wikidata.org/entity/Q5748272,Q5748272,Robin Fåhræus,https://kulturpersoner.uppsalakyrkogardar.se/robin-fahraeus/,robin-fahraeus
107,http://www.wikidata.org/entity/Q4970956,Q4970956,Rosalie Olivecrona,https://kulturpersoner.uppsalakyrkogardar.se/rosalie-olivecrona/,rosalie-olivecrona
108,http://www.wikidata.org/entity/Q99485357,Q99485357,Rune Hammarling,https://kulturpersoner.uppsalakyrkogardar.se/rune-hammarling/,rune-hammarling
109,http://www.wikidata.org/entity/Q919826,Q919826,Rutger Sernander,https://kulturpersoner.uppsalakyrkogardar.se/rutger-sernander/,rutger-sernander
110,http://www.wikidata.org/entity/Q38772992,Q38772992,Sixtus Janson,https://kulturpersoner.uppsalakyrkogardar.se/sixtus-janson/,sixtus-janson
111,http://www.wikidata.org/entity/Q19844789,Q19844789,Sonja Lyttkens,https://kulturpersoner.uppsalakyrkogardar.se/sonja-lyttkens/,sonja-lyttkens
112,http://www.wikidata.org/entity/Q80956,Q80956,Svante Arrhenius,https://kulturpersoner.uppsalakyrkogardar.se/svante-arrhenius/,svante-arrhenius
113,http://www.wikidata.org/entity/Q99485352,Q99485352,Sven Anders Hägg,https://kulturpersoner.uppsalakyrkogardar.se/sven-anders-hagg/,sven-anders-hagg
114,http://www.wikidata.org/entity/Q5951505,Q5951505,Sven Lilja,https://kulturpersoner.uppsalakyrkogardar.se/sven-lilja/,sven-lilja
115,http://www.wikidata.org/entity/Q4959294,Q4959294,Thekla Knös,https://kulturpersoner.uppsalakyrkogardar.se/thekla-knos/,thekla-knos
116,http://www.wikidata.org/entity/Q5978552,Q5978552,Topper Martyn,https://kulturpersoner.uppsalakyrkogardar.se/topper-martyn/,topper-martyn
117,http://www.wikidata.org/entity/Q5795469,Q5795469,Tycho Hedén,https://kulturpersoner.uppsalakyrkogardar.se/tycho-heden/,tycho-heden
118,http://www.wikidata.org/entity/Q4948950,Q4948950,Ulla-Bella Fridh,https://kulturpersoner.uppsalakyrkogardar.se/ulla-bella-fridh-gabrielsson/,ulla-bella-fridh-gabrielsson
119,http://www.wikidata.org/entity/Q943803,Q943803,Uno von Troil,https://kulturpersoner.uppsalakyrkogardar.se/uno-von-troil/,uno-von-troil
120,http://www.wikidata.org/entity/Q6043915,Q6043915,Viktor Persson,https://kulturpersoner.uppsalakyrkogardar.se/viktor-persson/,viktor-persson
121,http://www.wikidata.org/entity/Q4983741,Q4983741,Vivi Laurent-Täckholm,https://kulturpersoner.uppsalakyrkogardar.se/vivi-tackholm/,vivi-tackholm
122,http://www.wikidata.org/entity/Q6197251,Q6197251,Yngve Svalander,https://kulturpersoner.uppsalakyrkogardar.se/yngve-svalander/,yngve-svalander
123,http://www.wikidata.org/entity/Q13390628,Q13390628,Åke Holm,https://kulturpersoner.uppsalakyrkogardar.se/ake-holm/,ake-holm
