,WikidataID,riksdagenGUID,Source,sourceid,status,WD_Riksdagen,tilltalsnamn,efternamn,parti,fodd_ar,intressent_id,Riksdagen
2561,,,,e287ee77-0f36-4c34-9e98-3e4d3ba00551,Tillgänglig ersättare,Riksdagen_only,Kevin,Sahlin,SD,2001,0623225425598,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_e287ee77-0f36-4c34-9e98-3e4d3ba00551'>link</a>
2488,,,,91a67dbc-7819-42ea-8495-938a86450a7f,Tillgänglig ersättare,Riksdagen_only,Chris,Dahlqvist,SD,1995,0290003389021,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_91a67dbc-7819-42ea-8495-938a86450a7f'>link</a>
2466,,,,9a22acf3-cff8-4f92-8220-4c270ac9b912,Tillgänglig ersättare,Riksdagen_only,Sofia,Andersson Dharsani,S,1995,0182683003721,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_9a22acf3-cff8-4f92-8220-4c270ac9b912'>link</a>
2509,,,,39e9a576-d293-4c4c-874a-7b19669b8597,Tillgänglig ersättare,Riksdagen_only,Tobias,Holmberg,V,1993,0566942440823,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_39e9a576-d293-4c4c-874a-7b19669b8597'>link</a>
2511,,,,6aefcd8b-8c69-4e19-8a5e-2aab6acf84a1,Tillgänglig ersättare,Riksdagen_only,Fredrik,Hultman,M,1993,0664643445424,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_6aefcd8b-8c69-4e19-8a5e-2aab6acf84a1'>link</a>
2494,,,,f4edee66-311b-4d45-9193-1edc35d3c1da,Suppleant i Valprövningsnämnden,Riksdagen_only,Andreas,Exner,SD,1990,0895451884323,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_f4edee66-311b-4d45-9193-1edc35d3c1da'>link</a>
2495,,,,2afc1398-0728-496e-90de-1e4dc3549faf,Tillgänglig ersättare,Riksdagen_only,Sara,Fernlund,S,1990,0598661102120,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_2afc1398-0728-496e-90de-1e4dc3549faf'>link</a>
2505,,,,d84f745d-f3dc-44ae-933f-7a205d8d0042,Tillgänglig ersättare,Riksdagen_only,Joachim,Hagström,SD,1989,091781507226,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_d84f745d-f3dc-44ae-933f-7a205d8d0042'>link</a>
2573,,,,3ffd9634-40fb-46a4-b4d1-87b8ab1ba0b1,Tillgänglig ersättare,Riksdagen_only,Linnea,Öhman,MP,1987,0757810983720,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_3ffd9634-40fb-46a4-b4d1-87b8ab1ba0b1'>link</a>
2521,,,,0847b796-f1f1-40c2-a6a3-ffca7237066c,Tillgänglig ersättare,Riksdagen_only,Isatou Aysha,Jones,V,1985,0639599355222,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_0847b796-f1f1-40c2-a6a3-ffca7237066c'>link</a>
2568,,,,3aa0ec56-aaab-43da-b3ce-bd5633075176,Tillgänglig ersättare,Riksdagen_only,Lynn,Thulin,M,1982,0524748108128,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_3aa0ec56-aaab-43da-b3ce-bd5633075176'>link</a>
2491,,,,c1e3b2e8-1a2e-48ee-b122-d4b8feae1ec6,Tillgänglig ersättare,Riksdagen_only,Jessica,Eek,V,1980,024987736922,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_c1e3b2e8-1a2e-48ee-b122-d4b8feae1ec6'>link</a>
2523,,,,ce392512-84b1-4d50-b7b9-615a20918ae3,Tillgänglig ersättare,Riksdagen_only,Tobias,Josefsson,L,1980,0866147377621,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_ce392512-84b1-4d50-b7b9-615a20918ae3'>link</a>
2541,,,,b9b1651c-1163-4418-b6ad-d436ca6e71ac,Tillgänglig ersättare,Riksdagen_only,Robert,Mjörnberg,V,1980,0861007499022,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_b9b1651c-1163-4418-b6ad-d436ca6e71ac'>link</a>
2571,,,,91b6b1a4-edad-40cf-b6b3-eb40238d9dbd,Tillgänglig ersättare,Riksdagen_only,Mattias,Widén,SD,1973,0723735046624,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_91b6b1a4-edad-40cf-b6b3-eb40238d9dbd'>link</a>
2501,,,,f36e1e31-89a1-40e8-97aa-c3d7e2879140,Tillgänglig ersättare,Riksdagen_only,Cecilia,Gustafsson,M,1972,0127744006318,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_f36e1e31-89a1-40e8-97aa-c3d7e2879140'>link</a>
2564,,,,7127fb22-a1a7-4804-93ed-6364677e04cf,Tillgänglig ersättare,Riksdagen_only,Magdalena,Sundqvist,S,1972,0114714260118,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_7127fb22-a1a7-4804-93ed-6364677e04cf'>link</a>
2464,,,,05b725d4-5c81-4b15-8340-94ce79275963,Tillgänglig ersättare,Riksdagen_only,Johan,Algernon,M,1971,0502743550013,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_05b725d4-5c81-4b15-8340-94ce79275963'>link</a>
2539,,,,277734c9-e42e-40a0-b9c4-fb876dbab40e,Tillgänglig ersättare,Riksdagen_only,Henrik,Mellström,SD,1971,0606223973913,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_277734c9-e42e-40a0-b9c4-fb876dbab40e'>link</a>
2534,,,,4965beeb-9cb7-471a-a60b-1e2c7ecbef38,Tillgänglig ersättare,Riksdagen_only,Anders,Lindén,SD,1968,0871842984413,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_4965beeb-9cb7-471a-a60b-1e2c7ecbef38'>link</a>
2563,,,,245b650d-84e7-4eef-8c2d-012ec853630d,Tillgänglig ersättare,Riksdagen_only,Annelie,Sjöberg,SD,1967,0244552157217,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_245b650d-84e7-4eef-8c2d-012ec853630d'>link</a>
2489,,,,27929cd2-c31c-4d83-a836-de4b3206d63f,Tillgänglig ersättare,Riksdagen_only,Anna,Drake af Hagelsrum,L,1967,0561392168417,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_27929cd2-c31c-4d83-a836-de4b3206d63f'>link</a>
2490,,,,ab14b8e9-d566-4035-b192-1911d46dc6d9,Tillgänglig ersättare,Riksdagen_only,Jelena,Drenjanin,M,1964,0762821598617,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_ab14b8e9-d566-4035-b192-1911d46dc6d9'>link</a>
2485,,,,b037bbc4-5fd1-4afc-8388-b463600497b1,Tillgänglig ersättare,Riksdagen_only,Britt-Mari,Canhasi,SD,1963,0524250193013,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_b037bbc4-5fd1-4afc-8388-b463600497b1'>link</a>
2542,,,,59714dff-ba88-4562-a366-1b885a26e264,Tillgänglig ersättare,Riksdagen_only,Rashid,Mohammed,V,1960,018559099710,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_59714dff-ba88-4562-a366-1b885a26e264'>link</a>
2484,,,,7acc85be-c263-4f08-9316-fdd6bda1d8d0,Tillgänglig ersättare,Riksdagen_only,Lars,Brännström,MP,1956,028897707912,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_7acc85be-c263-4f08-9316-fdd6bda1d8d0'>link</a>
2562,,,,bae9deb7-d2b8-483b-baec-0c646cd42530,Tidigare ersättare,Riksdagen_only,Kalle,Sandell,KD,1953,0275126649110,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_bae9deb7-d2b8-483b-baec-0c646cd42530'>link</a>
2463,,,,d6016431-fd00-4970-9289-57aa2ad94ece,Tillgänglig ersättare,Riksdagen_only,Gary,Aelius,SD,1953,0677956118312,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_d6016431-fd00-4970-9289-57aa2ad94ece'>link</a>
2545,,,,b8adc0e8-856b-444c-8c10-7d1bc3befa51,Tillgänglig ersättare,Riksdagen_only,Tommy,Nilsson,SD,1944,0781953828706,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_b8adc0e8-856b-444c-8c10-7d1bc3befa51'>link</a>
2471,,,,56578615-ff84-44da-af6a-cfa6cc49dd79,Inga uppdrag,Riksdagen_only,Lars,Andersson,S,1941,56578615-ff84-44da-af6a-cfa6cc49dd79,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_56578615-ff84-44da-af6a-cfa6cc49dd79'>link</a>
2540,,,,eaf546e0-333a-4543-a79d-a35871de3a3f,Tidigare ledamot i Styrelsen för Stiftelsen Riksbankens Jubileumsfond,Riksdagen_only,Hans,Mertzig,,1941,0829071574102,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_eaf546e0-333a-4543-a79d-a35871de3a3f'>link</a>
2468,,,,c4cc7568-979f-4345-9bf3-90e864653f40,Inga uppdrag,Riksdagen_only,Elis,Andersson,C,1931,c4cc7568-979f-4345-9bf3-90e864653f40,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_c4cc7568-979f-4345-9bf3-90e864653f40'>link</a>
2533,,,,fd22cdf2-ad69-4782-b274-85aba4e6e963,Inga uppdrag,Riksdagen_only,Sven,Lindberg,S,1930,fd22cdf2-ad69-4782-b274-85aba4e6e963,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_fd22cdf2-ad69-4782-b274-85aba4e6e963'>link</a>
2555,,,,5d861f30-4f5a-4875-aa83-b2b9109f2ac9,Inga uppdrag,Riksdagen_only,Åke,Persson,FP,1930,5d861f30-4f5a-4875-aa83-b2b9109f2ac9,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_5d861f30-4f5a-4875-aa83-b2b9109f2ac9'>link</a>
2514,,,,2510d262-b99a-452f-ba0b-340eb67c73b4,Inga uppdrag,Riksdagen_only,Bertil,Johansson,C,1930,2510d262-b99a-452f-ba0b-340eb67c73b4,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_2510d262-b99a-452f-ba0b-340eb67c73b4'>link</a>
2476,,,,03ef25cd-d2cd-4e0d-836d-e4628bdc909f,Status saknas,Riksdagen_only,Eva,Bengtsson,MP,1928,0732626552000,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_03ef25cd-d2cd-4e0d-836d-e4628bdc909f'>link</a>
2530,,,,d9e688e5-1af3-40f2-b964-8582c7d3ad35,Inga uppdrag,Riksdagen_only,Lars-Åke,Larsson,S,1928,d9e688e5-1af3-40f2-b964-8582c7d3ad35,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_d9e688e5-1af3-40f2-b964-8582c7d3ad35'>link</a>
2478,,,,61d3d67b-a827-4b64-82e4-5ad0145454d7,Inga uppdrag,Riksdagen_only,Lennart,Bengtsson,C,1927,61d3d67b-a827-4b64-82e4-5ad0145454d7,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_61d3d67b-a827-4b64-82e4-5ad0145454d7'>link</a>
2536,,,,885be88d-1940-4307-ab9b-e9172fa317f4,Tidigare ersättare,Riksdagen_only,Carl-Erik,Lundgren,,1926,0287505615601,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_885be88d-1940-4307-ab9b-e9172fa317f4'>link</a>
2512,,,,759d3c13-bca8-48fe-897f-35e07a0311e3,Inga uppdrag,Riksdagen_only,Ulla,Jacobsson,M,1926,759d3c13-bca8-48fe-897f-35e07a0311e3,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_759d3c13-bca8-48fe-897f-35e07a0311e3'>link</a>
2470,,,,2ca68130-87cf-412e-b6f9-d4834c0a2792,Inga uppdrag,Riksdagen_only,Kerstin,Andersson,C,1924,2ca68130-87cf-412e-b6f9-d4834c0a2792,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_2ca68130-87cf-412e-b6f9-d4834c0a2792'>link</a>
2479,,,,c18913c1-efb9-43b2-9626-b51c807ea5f0,Inga uppdrag,Riksdagen_only,Holger,Bergman,S,1923,c18913c1-efb9-43b2-9626-b51c807ea5f0,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_c18913c1-efb9-43b2-9626-b51c807ea5f0'>link</a>
2502,,,,0dab2993-ca0a-4010-9c54-99604a3c1015,Inga uppdrag,Riksdagen_only,Gunnar,Gustafsson,S,1922,0dab2993-ca0a-4010-9c54-99604a3c1015,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_0dab2993-ca0a-4010-9c54-99604a3c1015'>link</a>
2546,,,,bd48e8de-8756-442c-96c9-57d536ad844b,Inga uppdrag,Riksdagen_only,Tore,Nilsson,H - M,1919,bd48e8de-8756-442c-96c9-57d536ad844b,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_bd48e8de-8756-442c-96c9-57d536ad844b'>link</a>
2492,,,,982b20f3-67c9-4e51-89f2-b1c5147ed7b2,Inga uppdrag,Riksdagen_only,Gunnar,Ericsson,FP,1919,982b20f3-67c9-4e51-89f2-b1c5147ed7b2,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_982b20f3-67c9-4e51-89f2-b1c5147ed7b2'>link</a>
2551,,,,88fd86b8-8fb5-49df-9535-6c7192e928fd,Inga uppdrag,Riksdagen_only,Stig,Olsson,S,1919,88fd86b8-8fb5-49df-9535-6c7192e928fd,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_88fd86b8-8fb5-49df-9535-6c7192e928fd'>link</a>
2557,,,,10cd3760-1ad4-49a3-8598-16862d9f0bc1,Inga uppdrag,Riksdagen_only,Per,Petersson,M,1919,10cd3760-1ad4-49a3-8598-16862d9f0bc1,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_10cd3760-1ad4-49a3-8598-16862d9f0bc1'>link</a>
2549,,,,3b190534-4f0a-400e-a7e4-82a501f66a78,Inga uppdrag,Riksdagen_only,Erik,Olsson,M,1918,3b190534-4f0a-400e-a7e4-82a501f66a78,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_3b190534-4f0a-400e-a7e4-82a501f66a78'>link</a>
2526,,,,e1b1e327-e701-45f4-a4f7-07486a19db47,Inga uppdrag,Riksdagen_only,Gösta,Karlsson,C,1918,e1b1e327-e701-45f4-a4f7-07486a19db47,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_e1b1e327-e701-45f4-a4f7-07486a19db47'>link</a>
2506,,,,eef60095-b93b-44f6-9390-03562c2f1438,Inga uppdrag,Riksdagen_only,Bertil,Hansson,FP,1918,eef60095-b93b-44f6-9390-03562c2f1438,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_eef60095-b93b-44f6-9390-03562c2f1438'>link</a>
2503,,,,a7b37ede-7d40-4b3f-a6af-4f9ef2693be0,Inga uppdrag,Riksdagen_only,Wilhelm,Gustafsson,FP,1918,a7b37ede-7d40-4b3f-a6af-4f9ef2693be0,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_a7b37ede-7d40-4b3f-a6af-4f9ef2693be0'>link</a>
2482,,,,cef70ee6-14fa-4181-aac9-38b2f3572622,Inga uppdrag,Riksdagen_only,Kaj,Björk,S,1918,cef70ee6-14fa-4181-aac9-38b2f3572622,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_cef70ee6-14fa-4181-aac9-38b2f3572622'>link</a>
2500,,,,401af954-76b7-4786-8147-56a5b267b1ca,Inga uppdrag,Riksdagen_only,Allan,Gustafsson,C,1918,401af954-76b7-4786-8147-56a5b267b1ca,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_401af954-76b7-4786-8147-56a5b267b1ca'>link</a>
2559,,,,a47e66cd-e185-4197-b534-9633134ea2d4,Inga uppdrag,Riksdagen_only,Georg,Pettersson,C,1918,a47e66cd-e185-4197-b534-9633134ea2d4,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_a47e66cd-e185-4197-b534-9633134ea2d4'>link</a>
2498,,,,ffcf0139-d0dd-4915-9d5a-2268372aceb2,Inga uppdrag,Riksdagen_only,Paul,Grabö,C,1918,ffcf0139-d0dd-4915-9d5a-2268372aceb2,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_ffcf0139-d0dd-4915-9d5a-2268372aceb2'>link</a>
2560,,,,175b3573-ae5c-4370-99a9-3429315fa020,Inga uppdrag,Riksdagen_only,Harald,Pettersson,C,1918,175b3573-ae5c-4370-99a9-3429315fa020,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_175b3573-ae5c-4370-99a9-3429315fa020'>link</a>
