,title,subtitle,link
0,,,https://www.thesun.co.uk/sport/football/19002138/cristiano-ronaldo-man-utd-sensational-summer-transfer-chelsea/
1,,,https://www.thesun.co.uk/sport/football/19000913/gareth-bale-transfer-los-angeles-cardiff-real-madrid/
2,,,https://www.thesun.co.uk/sport/football/19000813/cristiano-ronaldo-man-utd-transfer-jose-mourinho-roma/
3,,,https://www.thesun.co.uk/sport/football/19000311/man-utd-supporters-glazer-protest-erik-ten-hag/
4,,,https://www.thesun.co.uk/sport/betting-tips/18918779/win-mercedes-exclusive-discount/
5,,,https://www.thesun.co.uk/sport/19000157/man-utd-liverpool-paul-scholes-michael-owen-horse-racing/
6,,,https://www.thesun.co.uk/sport/football/18999223/arsenal-advanced-transfer-talks-raphinha-leeds/
7,,,https://www.thesun.co.uk/sport/football/19001534/west-ham-jesse-lingard-free-transfer-man-utd/
8,,,https://www.thesun.co.uk/sport/football/19001023/ten-hag-man-utd-pre-season/
9,,,https://www.thesun.co.uk/sport/betting-tips/18979204/free-bets-horse-racing-888sport-irish-derby-new-customer/
10,HOT ROD,Georgina Rodriguez shows bikini tan lines as Ronaldo goes fishing on £5.5m yacht,https://www.thesun.co.uk/sport/football/19000956/man-utd-cristiano-ronaldo-georgina-rodriguez-yacht-bikini/
11,BLADE RAID,Sheff Utd in shock swoop for Malmo's Ahmedhodzic but face fight with Blackburn,https://www.thesun.co.uk/sport/19002021/sheffield-united-anel-ahmedhodzic-transfer-blackburn/
12,ROO THE DAY,Rooney leaves Hourihane in transfer limbo after shock Derby departure,https://www.thesun.co.uk/sport/19002215/wayne-rooney-conor-hourihane-transfer-man-utd-derby/
13,TUCH BASE,Chelsea boss Tuchel 'makes contact with Sterling ahead of opening bid',https://www.thesun.co.uk/sport/football/18999172/chelsea-thomas-tuchel-raheem-sterling-transfer/
14,BIG SPEN-DERS,Middlesbrough tell Spurs they will not budge on Djed Spence transfer fee,https://www.thesun.co.uk/sport/football/19001135/middlesborough-tottenham-dj-spence/
15,MO SELLER,Liverpool may let Salah LEAVE for £60m with Real on alert amid new deal deadlock,https://www.thesun.co.uk/sport/18996844/liverpool-mo-salah-leave-real-madrid/
16,ONE WAY TICKETS,Raphinha and Di Maria meet in Ibiza as they prepare to leave Leeds and PSG,https://www.thesun.co.uk/sport/football/19001522/raphinha-angel-di-maria-ibiza-summer-transfers/
17,PHILL YOUR BOOTS,Man City agree £45million deal for Leeds star Kalvin Phillips,https://www.thesun.co.uk/sport/football/18995119/man-city-agree-45m-kalvin-phillips-transfer/
18,ALL GON WRONG,Higuain slams Arsenal for claims he was too expensive before they bought Ozil,https://www.thesun.co.uk/sport/football/19001078/arsenal-gonzalo-higuain-mesut-ozil/
19,CASINO DEALS,The best casino offers from free spins and bonus cash to no deposit deals,https://www.thesun.co.uk/sport/betting-tips/15779007/online-casino-deals-new-customer-sign-up-bonus/
20,GUNNERS NEWS,"Arsenal's Gabriel Jesus '£45m transfer AGREED', Raphinha talks advanced",https://www.thesun.co.uk/sport/18833883/arsenal-transfer-news-live-gabriel-jesus-raphinha-saliba-lisandro-martinez/
21,BLUES LATEST,"Tuchel 'contacts £50m Sterling ahead of bid', De Ligt and Kounde latest",https://www.thesun.co.uk/sport/football/18984148/chelsea-transfer-news-live-sterling-de-ligt-kounde/
22,MAN UTD NEWS,Cristiano Ronaldo agent MEETS with Chelsea owner over SHOCK transfer - latest,https://www.thesun.co.uk/sport/18912631/man-utd-transfer-news-live-cristiano-ronaldo-chelsea-frenkie-de-jong/
23,RON A MILE,Ronaldo shows off amazing physique as he trains alone with future up-in-air,https://www.thesun.co.uk/sport/football/18999843/cristiano-ronaldo-holiday-pre-season-man-utd/
24,'VERY DISAPPOINTED',Watford spark outrage by arranging friendly against Qatar national team,https://www.thesun.co.uk/sport/football/19000902/watford-fan-fury-qatar-national-team-friendly/
25,TON OF INTEREST,Frankfurt & Lyon enter transfer battle with Prem clubs for Brereton Diaz,https://www.thesun.co.uk/sport/19001593/frankfurt-lyon-everton-leeds-bournemouth-blackburn-ben-brereton-diaz/
26,YOU'RE KIDDING,"Watch as more than 5,000 school kids sing 'Happy Birthday' to Lionel Messi",https://www.thesun.co.uk/sport/football/19000481/school-children-happy-birthday-lionel-messi/
27,NEYM YOUR PRICE,Neymar's agents 'open talks with Juventus over stunning transfer from PSG',https://www.thesun.co.uk/sport/football/18998938/neymar-agent-juventus-transfer-psg/
28,ALL TO PLAY FOR,Joe Allen on Huddersfield's transfer wish list after leaving Stoke on free,https://www.thesun.co.uk/sport/19001315/joe-allen-transfer-wales-swansea-free/
29,CEK HIM OUT,"Newcastle, Villa and Everton on alert with Soucek struggling to agree new deal",https://www.thesun.co.uk/sport/18996629/west-ham-tomas-soucek-contract-transfer-offers/
30,BOTMAN BEGINS,Newcastle finally strike £39m deal for Botman with medical set for next week,https://www.thesun.co.uk/sport/18996542/newcastle-transfer-deal-sven-botman-medical-next-week/
31,SIX OF THE BEST,How Chelsea could line up after £200m transfer spree with SIX new signings,https://www.thesun.co.uk/sport/football/18999661/chelsea-line-up-transfers-signings-sterling/
32,S-MART MOVE,Arsenal open fresh talks for Martinez in bid to beat Man Utd to Ajax defender,https://www.thesun.co.uk/sport/football/18998662/arsenal-lisandro-martinez-transfer-talks-ajax/
33,LIGT WORK,Chelsea prepare De Ligt bid with club willing to fork out £38m plus star forward,https://www.thesun.co.uk/sport/football/18994767/chelsea-de-ligt-offer-cash-player-juventus/
34,ENGLAND 5 NETHERLANDS 1,Beth Mead scores twice to beat Greaves' 61-year-old scoring record,https://www.thesun.co.uk/sport/18997761/england-5-netherlands-1-beth-mead-jimmy-greaves/
35,ZI YA LATER,Chelsea star Hakim Ziyech 'hands in transfer request as AC Milan open talks',https://www.thesun.co.uk/sport/football/18998959/chelsea-hakim-ziyech-ac-milan/
36,MARC IT OUT,Cucurella hints at Man City transfer as he likes Insta post after Phillips deal,https://www.thesun.co.uk/sport/football/18999076/brighton-marc-cucurella-man-city-transfer-phillips/
37,AARD LUCK,Ramsey's transfer collapses after 'practically agreeing' to join Pirlo's side,https://www.thesun.co.uk/sport/football/18999444/aaron-ramsey-pirlo-turkey/
38,'I WANT TO PLAY',Kepa warns Chelsea to play him or he will seek transfer exit this summer,https://www.thesun.co.uk/sport/football/19000853/kepa-chelsea-transfer-exit-tuchel/
39,PLAYBOY MUMMY,Ex-Rangers wag in tears as she becomes Scotland's oldest Playboy model at 38,https://www.thesun.co.uk/sport/18995953/rangers-wag-stephanie-heaney-playboy-nacho-novo/
40,SAL SEARCHING,Marseille launch £26m permanent bid for Arsenal defender William Saliba,https://www.thesun.co.uk/sport/football/19000715/marseille-william-saliba-bid-arsenal/
41,RAPH READY,Arsenal in Raphinha transfer boost as Leeds move for Charles de Ketelaere,https://www.thesun.co.uk/sport/football/19000798/arsenal-raphina-leeds-charles-de-ketelaere/
42,UN-BIEL-EVABLE,Bielsa to miss out on Athletic Bilbao job after presidential elections,https://www.thesun.co.uk/sport/18999800/leeds-marcelo-bielsa-athletic-bilbao-presidential-valverde/
43,RICH AND POOR,Everton 'must sell in days in boost to Chelsea and Spurs' Richarlison hunt',https://www.thesun.co.uk/sport/football/18999164/everton-sell-chelsea-tottenham-richarlison/
44,DAMNED UTD,Neville calls Man Utd a GRAVEYARD and uses Eriksen as example of Glazers' effect,https://www.thesun.co.uk/sport/18994393/gary-neville-man-utd-graveyard-eriksen-glazers-transfer/
45,ROM FOR IMPROVEMENT,Fulham 'make transfer offer to AC Milan captain Alessio Romagnoli',https://www.thesun.co.uk/sport/football/19000117/fulham-transfer-milan-alessio-romagnoli/
46,AD TO THE SQUAD,Watford want Southampton's Adam Armstrong but face competition from Boro,https://www.thesun.co.uk/sport/19000716/watford-middlesbrough-southampton-adam-armstrong-loan/
47,AW YES,Nottingham Forest smash transfer record as they sign £17m striker Taiwo Awoniyi,https://www.thesun.co.uk/sport/football/18999987/nottingham-forest-transfer-taiwo-awoniyi/
48,HAMER TIME,Fulham launch transfer bid for Coventry midfielder Gustavo Hamer,https://www.thesun.co.uk/sport/football/19000026/hamer-fulham-coventry-midfielder/
